StateCounty,TotalPop,Men,Women,Citizen,MeanCommute,Employed,Hispanic_,White_,Black_,Native_,Asian_,Pacific_,Poverty_,ChildPoverty_,Professional_,Service_,Office_,Construction_,Production_,Drive_,Carpool_,Transit_,Walk_,OtherTransp_,WorkAtHome_,PrivateWork_,PublicWork_,SelfEmployed_,FamilyWork_,Unemployment_,income_weighted,per_dem,per_gop,clinton_win
Virginia_Warren,38481,0.5009745,0.4990255,0.7580884,42.51667,0.4856683,0.03905824,0.8791611,0.0399158,0.001767106,0.01026481,0.000103947,0.09859411,0.1174606,0.3273044,0.1828955,0.2214599,0.1614303,0.1071178,0.7495907,0.1683168,0.001689145,0.02401185,0.01270757,0.043476,0.739066,0.1903017,0.06795561,0.002858554,0.07258127,29521.62,0.2903153,0.6611208,FALSE
Virginia_Washington,54759,0.4947497,0.5052503,0.8017312,23.14391,0.4463559,0.01433554,0.9559159,0.01428076,0.000474808,0.005569861,0,0.1309739,0.1752954,0.3412224,0.1734327,0.2481419,0.07375956,0.1637539,0.8405742,0.0890082,0.003798462,0.01840793,0.006501214,0.04189266,0.7809493,0.1581475,0.0603919,0.000383499,0.06937672,25350.74,0.2157496,0.7508847,FALSE
Virginia_Waynesboro city,21150,0.4767376,0.5232624,0.7393853,20.44122,0.4565012,0.06690307,0.7813712,0.1179196,0.00108747,0.009881797,0,0.1819385,0.2337116,0.2665721,0.2052482,0.27513,0.07862884,0.1743262,0.8348463,0.1022695,0.004066194,0.01432624,0.02591017,0.01825059,0.8063357,0.1583452,0.0351773,0.000141844,0.04945626,22156.28,0.4127716,0.5264428,FALSE
Virginia_Westmoreland,17557,0.4888079,0.5111921,0.783676,41.94006,0.4227943,0.06100131,0.6351313,0.2798314,0.002164379,0.004670502,0,0.1324258,0.1381785,0.2899129,0.1980976,0.2607507,0.1438173,0.106852,0.7432933,0.1130034,0.003930056,0.04488238,0.01868201,0.07666458,0.6485163,0.2514667,0.09996013,0.000227829,0.1029219,25991.5,0.4490411,0.5223737,FALSE
Virginia_Williamsburg city,14754,0.4517419,0.5482581,0.8194388,19.21909,0.4034838,0.07069269,0.689779,0.1497899,0,0.05862817,0,0.2160092,0.1403687,0.4859699,0.2231259,0.1944557,0.04649587,0.050427,0.6384709,0.07265826,0.03727803,0.1648367,0.02290904,0.06303375,0.6293886,0.33862,0.03056798,0.001558899,0.08878948,24127.22,0.6900717,0.2549774,TRUE
Virginia_Winchester city,27168,0.494442,0.505558,0.6972173,22.73215,0.4692285,0.1630963,0.6789237,0.1039458,0.001729976,0.02403563,0,0.1602621,0.1714517,0.3452591,0.2089959,0.2393257,0.08112485,0.1253313,0.6969965,0.1503975,0.01096879,0.07284305,0.02738516,0.04188751,0.8051016,0.1289016,0.0625,0.003055065,0.06699058,26182.54,0.488084,0.4526196,TRUE
Virginia_Wise,40530,0.5177893,0.4822107,0.7915618,22.95286,0.3389094,0.0121885,0.9199358,0.05247964,0.000567481,0.004737232,0,0.2244017,0.3184061,0.3328645,0.1329632,0.238342,0.1631137,0.1331113,0.8196644,0.1316062,0.009474463,0.01875154,0.007722675,0.01275598,0.7449544,0.2239576,0.03022453,0.000814212,0.1106588,20321.28,0.1792409,0.7993463,FALSE
Virginia_Wythe,29190,0.4916752,0.5083248,0.7936622,23.03371,0.4327167,0.01079137,0.9413498,0.03593696,0.000685166,0.006783145,0,0.1510449,0.1786571,0.2785543,0.188729,0.2322371,0.08595409,0.2142172,0.8252141,0.1127098,0.008427544,0.01582734,0.008633094,0.0294964,0.7944844,0.1530319,0.0507023,0.002158273,0.09527235,23770.1,0.2086792,0.7580377,FALSE
Virginia_York,66471,0.4914173,0.5085827,0.7247973,22.14973,0.4537317,0.0544448,0.7283778,0.1303275,0.00159468,0.05256428,0.002226535,0.06551729,0.08227648,0.478705,0.1504867,0.2087677,0.08358532,0.07831987,0.8481293,0.07434821,0.003189361,0.01626273,0.01126807,0.04665192,0.6752268,0.2760452,0.04647139,0.002482286,0.05882264,35876.49,0.381334,0.5526099,FALSE
Washington_Adams,19081,0.5082543,0.4917457,0.4654368,17.8526,0.403438,0.6148001,0.3624024,0.002201142,0.000838531,0.006341387,0.001205388,0.2131964,0.2650804,0.2359939,0.122373,0.1612599,0.3157591,0.164614,0.7485981,0.1436508,0.00482155,0.02164457,0.01755673,0.06357109,0.8165715,0.1416068,0.0392013,0.002515591,0.09595933,17564.26,0.2739525,0.6714041,FALSE
